"Data Source","World Development Indicators",

"Last Updated Date","2020-02-27",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.34471010773918","1.36174674106349","1.37290935521911","1.40309957936234","1.45374476657702","1.46160661367888","1.46578255614232","1.47526807863051","1.47987623672806","1.4812135641779","1.49077288385799","1.49160554963625","1.51700064586486","1.5375601843244","1.53534660462873","1.5354287030711","1.54110748145538","1.57915016415072","1.65698482575108","1.62737271567196","1.63438071977251","1.65275127746192","1.6294113479802","1.56779189326464","1.54926968720958","1.55478535287238","1.52179939826149","1.48288761944882","1.49935778029894","",
"Afghanistan","AFG","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.9883340451907","13.0659129673793","13.516352472573","14.282223944317","17.3878593616598","16.2613609121829","16.3475144232583","17.71788","18.4767794730479","19.5549844400752","20.1422317262934","19.9852408142716","20.6014675241302","21.1755245899423","","",
"Angola","AGO","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.48667672143547E-08","4.3844295573215E-08","1.70012875836617E-07","2.44161908548507E-06","2.49805807455107E-05","0.000672216918362962","0.0277236828585044","0.0864662295879225","0.176491725517355","0.601378628402956","2.4723525406456","6.07257742630787","12.4874043655354","24.2036055359666","33.8364825692666","40.2379717648834","44.1669183815735","48.2029548313031","52.2121945953422","59.5929576948232","67.1151365712485","73.833118746184","79.7708877840343","85.5202989082564","90.2819336203456","99.4431857444668","130.000570609061","167.629255878996","196.6703910991","",
"Albania","ALB","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.84903308566758","15.3433872066438","27.5721597589368","32.9350694383017","34.5329764547362","37.8189131398461","49.2167961933622","57.4240374697756","57.9361387185452","57.0000927119944","57.0219462045235","57.5570466425412","58.212685546207","57.1907214308137","57.1642580491051","57.6930307392667","58.3309734363209","58.2741974616614","58.4168874037247","57.3181737027479","55.9322087943624","54.0751642826457","54.4835200977283","54.4036796788418","52.6287309359698","54.0199923106497","51.8471994340162","53.0227942457597","",
"Andorra","AND","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.54186437414877","2.74776402519275","2.80063652433704","2.77963836820642","2.71821566864951","2.68074393248413","2.67113444656107","2.69016594674104","2.79633757320294","2.80616588287628","2.8016794176806","2.81880113339178","",
"Argentina","ARG","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.768382","","","","","","","15.917","",
"Armenia","ARM","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.22821998082573","41.581202013389","111.612674192462","128.691047662152","143.307222746546","153.355024055052","151.044252179798","144.954752601782","145.405483130254","144.652616677689","148.120002439595","154.300045498472","150.190333881876","149.704975139432","151.967868119199","159.447569321407","165.467891128079","176.108881716362","183.779594752977","184.659486125028","192.530408608667","195.10529154062","202.146218253032","196.825757946624","194.589126076087","194.736622819538","",
"American Samoa","ASM","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.92116932502225","","","","","","","","",
"Antigua and Barbuda","ATG","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.33485563038519","2.3104821070672","2.25225838996602","2.22108143290562","2.23904550810832","2.23299055796305","2.21891635574596","2.1911458738936","2.16061851386744","2.13043954572567","2.16110603820186","2.15688522219504","2.19359686061436","2.19997430940785","2.22815673399682","2.21925562499232","2.20762058994803","2.22637120866872","2.18787267229323","2.19435033412196","2.16788715863964","",
